Tweet,Borough,Hate Prediction,Tweet Date,Latitude,Longitude
naturalhistorymuseum london england dinosaur jirafas en natural history museum london,Kensington,other,2022-12-10 11:28:38+00:00,51.4989948,-0.1991229
this women irritates me,Camden Town,sexism,2022-12-10 11:18:22+00:00,51.5423045,-0.1395604
you’re despicable nwhat a sad little woman you must be,Camberwell,sexism,2022-12-10 11:17:16+00:00,51.4745706,-0.0925416
no idea why this hate filled woman is still given airtime by the mediandespicable,Enfield,sexism,2022-12-10 11:06:02+00:00,51.6520851,-0.0810175
seen go west lately still go it,Bromley,other,2022-12-10 10:50:50+00:00,51.36685695,0.061709076090816765
how can you say that your kid goes to the mens games but is too young to go to the arsenal ladies youre talking shit and must be a dirty yid,Hillingdon,sexism,2022-12-10 10:34:09+00:00,51.542519299999995,-0.44833493117949663
🤣🤣wefuge,Brent,racism,2022-12-10 09:55:36+00:00,51.5639957,-0.27590641378489267
only because of racist’s like you,Romford,racism,2022-12-10 09:42:43+00:00,51.5760462,0.1822646
attention seeking asshole,Camden Town,disability,2022-12-10 09:38:36+00:00,51.5423045,-0.1395604
endoftheyear get together london united kingdom,City of London,other,2022-12-10 09:36:45+00:00,51.515053699999996,-0.09311889867661148
narnianmidkemianthe six duchiesnkrynn nwesteros,Bexley,other,2022-12-10 09:26:38+00:00,51.4416793,0.150488
warningnman speaking here,Camden Town,other,2022-12-10 09:06:53+00:00,51.5423045,-0.1395604
i have never done this it doesnt happen it couldnt be more obvious this women is an idiot,Camden Town,sexism,2022-12-10 08:54:48+00:00,51.5423045,-0.1395604
whats racist………idiot,Kingston upon Thames,disability,2022-12-10 08:36:41+00:00,51.4096275,-0.3062621
england expects,London,other,2022-12-10 08:29:10+00:00,36.4846239,-119.44405977174983
so all those arrested scientists doctors amp clerics are have notsnstop drinking the murdoch koolaid matenthey are destroying uk,Camberwell,religion,2022-12-10 08:15:14+00:00,51.4745706,-0.0925416
fucking classless bunch the argies,Islington,other,2022-12-10 08:15:12+00:00,51.5384287,-0.0999051
dickhead you lay your bed lady now sleep on it,Hackney,sexism,2022-12-10 08:05:47+00:00,51.5432402,-0.0493621
woke left claptrap,Enfield,other,2022-12-10 07:46:15+00:00,51.6520851,-0.0810175
however bad it is or seems you’re a cunt and the people of this county would take her over you every day of the week,Ealing,sexism,2022-12-10 03:28:35+00:00,51.5126553,-0.3051952
shortly followed by hong kong racing,Lewisham,racism,2022-12-10 02:13:31+00:00,51.4624292,-0.0101787
why is he allowed in the congress… he looks like a retard most probably it is,Ealing,other,2022-12-10 01:56:19+00:00,51.5126553,-0.3051952
another pedophile off the platform… congrats 👌🏻,Ealing,sexual_orientation,2022-12-10 01:55:22+00:00,51.5126553,-0.3051952
pussies use weapons…,Romford,sexism,2022-12-10 00:34:28+00:00,51.5760462,0.1822646
tory idea is keep everyone on the island and bleed them dry destruction of free will doesnt take long to give people stockholm syndrome,Paddington,racism,2022-12-09 23:32:26+00:00,51.5185075,-0.1787546
dugongs are not manatees,London,racism,2022-12-09 23:27:31+00:00,36.4846239,-119.44405977174983
night dears london united kingdom,City of London,other,2022-12-09 23:25:57+00:00,51.515053699999996,-0.09311889867661148
no bite your just gay,Bromley,sexual_orientation,2022-12-09 23:22:34+00:00,51.36685695,0.061709076090816765
albumsn flaming lips soft bulletinn ultrasound everything picturen shack hms fablen chemical bros surrendern underworld beaucoup fish,Bromley,other,2022-12-09 23:10:58+00:00,51.36685695,0.061709076090816765
part straight hunk slave ruined cum shot post cum torture you don’t get to cum that easily edging gay bdsm kink,London,sexual_orientation,2022-12-09 23:06:13+00:00,36.4846239,-119.44405977174983
drinking an ofs blood orange west coast ipa spain by at —,Camden Town,other,2022-12-09 22:55:04+00:00,51.5423045,-0.1395604
excellent you hateful woman,Hackney,sexism,2022-12-09 22:39:43+00:00,51.5432402,-0.0493621
she an ignorant biatch,Bexley,sexism,2022-12-09 22:07:01+00:00,51.4416793,0.150488
world 🌎 cup final prediction argentina portugal worldcup qatar qatarworldcup,Paddington,other,2022-12-09 22:03:58+00:00,51.5185075,-0.1787546
argentina fans top 👏🏾,Poplar,other,2022-12-09 22:02:36+00:00,51.5110713,-0.0144629
walter james edwardsngreat grandfathernntopical press agencyn,Croydon,other,2022-12-09 21:59:26+00:00,51.3713049,-0.101957
van dykes fault utterly useless penalty an embarrassment fucking pathetic for a senior player,Barnet,sexual_orientation,2022-12-09 21:57:51+00:00,51.65309,-0.2002261
have that you dutch cunts,Romford,sexism,2022-12-09 21:56:41+00:00,51.5760462,0.1822646
walter james edwards amp lillian emma edwards nngreat grandparents circa nntopical press n,Croydon,other,2022-12-09 21:56:19+00:00,51.3713049,-0.101957
sad little life argentina etc,Sutton,other,2022-12-09 21:56:01+00:00,51.3612155,-0.1921503
also i will kill and die for maddy just tell me where and when queen thetraitors,Poplar,sexism,2022-12-09 21:51:33+00:00,51.5110713,-0.0144629
please miss you argie prick,Paddington,other,2022-12-09 21:48:35+00:00,51.5185075,-0.1787546
timber sou defoul nank day geneu dh,Brent,other,2022-12-09 21:24:55+00:00,51.5639957,-0.27590641378489267
nedarg worst refereeing performance by country mile this world cupnfifaworldcup,Enfield,other,2022-12-09 21:24:16+00:00,51.6520851,-0.0810175
timber gonna see red soonsub him off lvg,Hammersmith,other,2022-12-09 21:23:27+00:00,51.4920377,-0.2236401
fuck off you minging cunt,Barnet,sexism,2022-12-09 21:16:47+00:00,51.65309,-0.2002261
argentina have heights problem,Camberwell,other,2022-12-09 21:14:21+00:00,51.4745706,-0.0925416
women are not allowed,Richmond,sexism,2022-12-09 21:13:57+00:00,51.4405529,-0.3076394377337949
bonkers brilliant too mind fifaworldcup arg vs nedarg,London,other,2022-12-09 21:12:33+00:00,36.4846239,-119.44405977174983
otamendi fucking spastic,Romford,other,2022-12-09 21:07:08+00:00,51.5760462,0.1822646
double dutch double dutchnwhat drama nedarg,London,other,2022-12-09 21:06:07+00:00,36.4846239,-119.44405977174983
smart one netherlands 👏,London,other,2022-12-09 21:05:51+00:00,36.4846239,-119.44405977174983
put these fuckers in a packkkkkk,Hammersmith,racism,2022-12-09 21:04:59+00:00,51.4920377,-0.2236401
now lets arrest coal criminals gove amp sunaknwell done heroes 👍🙏,Camberwell,other,2022-12-09 21:00:11+00:00,51.4745706,-0.0925416
chia is of good taste 👍 she knows that its not good for your health,Camberwell,racism,2022-12-09 20:56:20+00:00,51.4745706,-0.0925416
so paredes is a shithousing dickhead nedarg,Lambeth,other,2022-12-09 20:53:34+00:00,51.4952111,-0.1163354
i cant believe illegals are being given accommodation whilst our homeless are freezing their balls off🤬🤬🤬,Hounslow,racism,2022-12-09 20:50:33+00:00,51.4686132,-0.3613471
you crave it you want to have your mouth right under my hole give in and come eat 💩nnfindom scat shit poop fart slave humantoilet turd piss london,Hackney,sexual_orientation,2022-12-09 20:49:18+00:00,51.5432402,-0.0493621
laaaaay argentine day encaisser wat😭,Brent,other,2022-12-09 20:48:18+00:00,51.5639957,-0.27590641378489267
weghorst faking hell solid header,Poplar,other,2022-12-09 20:44:30+00:00,51.5110713,-0.0144629
emi martinez just shit houses everyone amp anyone,Poplar,other,2022-12-09 20:36:28+00:00,51.5110713,-0.0144629
de paul moy imbecile,Brent,other,2022-12-09 20:22:18+00:00,51.5639957,-0.27590641378489267
shes basically a back stabbing pos,Lewisham,sexism,2022-12-09 20:00:14+00:00,51.4624292,-0.0101787
hm supporters favour remain,Ealing,other,2022-12-09 19:55:26+00:00,51.5126553,-0.3051952
gutted not to see you there tomorrow but i can’t argue with a chinese,Richmond,racism,2022-12-09 19:44:17+00:00,51.4405529,-0.3076394377337949
fuck fuck fuck stoppp itttt lionel,Enfield,other,2022-12-09 19:35:45+00:00,51.6520851,-0.0810175
that’s what you get for dancing around like twats brazil,Wandsworth,sexism,2022-12-09 19:15:21+00:00,51.4570271,-0.1932607
what about men a woman grab muy butt in rugby 🏉 game in wales 🏴󠁧󠁢󠁷󠁬󠁳󠁿 this true not joking,London,sexism,2022-12-09 19:14:23+00:00,36.4846239,-119.44405977174983
three moaning minis shut up xx thearchers,Hammersmith,sexism,2022-12-09 19:08:38+00:00,51.4920377,-0.2236401
better start sorting out the muslim grooming gangs then mr mayor,Romford,religion,2022-12-09 19:07:38+00:00,51.5760462,0.1822646
stay agile amp antifragile bansky,London,other,2022-12-09 18:56:21+00:00,36.4846239,-119.44405977174983
ah well brazil,Camberwell,other,2022-12-09 18:40:01+00:00,51.4745706,-0.0925416
pretty sure bbc just showed astrid wett on a world cup promo… the sluts,Poplar,sexism,2022-12-09 18:30:00+00:00,51.5110713,-0.0144629
awful disrespectful cruel woman,Romford,sexism,2022-12-09 18:17:49+00:00,51.5760462,0.1822646
xavininiestanmodricnzidanennso tough though,Romford,other,2022-12-09 18:17:00+00:00,51.5760462,0.1822646
good anything to upset racist gammons perhaps harry should be king right nownkick out illegal racists in this countryntheres no such thing as illegal immigrants,Bromley,racism,2022-12-09 18:15:29+00:00,51.36685695,0.061709076090816765
london er best london united kingdom,City of London,other,2022-12-09 17:57:21+00:00,51.515053699999996,-0.09311889867661148
holy shit cro bra fifaworldcup qatar,London,other,2022-12-09 17:54:52+00:00,36.4846239,-119.44405977174983
get this woman off please,Bromley,sexism,2022-12-09 17:52:06+00:00,51.36685695,0.061709076090816765
logistics robbxpress internationaltrade china longbeachport losangelesport london united kingdom,City of London,other,2022-12-09 17:50:08+00:00,51.515053699999996,-0.09311889867661148
croatia looked tired tonight,Paddington,other,2022-12-09 17:49:06+00:00,51.5185075,-0.1787546
cry you fxcking punks,Poplar,racism,2022-12-09 17:48:30+00:00,51.5110713,-0.0144629
croatia damn,Croydon,other,2022-12-09 17:47:12+00:00,51.3713049,-0.101957
croatiaaaaaaaaa knock out brazil,Hammersmith,other,2022-12-09 17:47:00+00:00,51.4920377,-0.2236401
croatiaaaaaaaaaaa,Romford,other,2022-12-09 17:46:53+00:00,51.5760462,0.1822646
croatia fan channelling arsenal at ot in,Brent,other,2022-12-09 17:43:30+00:00,51.5639957,-0.27590641378489267
croatian mentality gt,Brent,other,2022-12-09 17:33:34+00:00,51.5639957,-0.27590641378489267
netherlands argentina ko marna ha ab plz,Hillingdon,other,2022-12-09 17:33:23+00:00,51.542519299999995,-0.44833493117949663
🇬🇧 united kingdomnncapital londonnnregion europe amp central asianncreditn,London,other,2022-12-09 17:30:39+00:00,36.4846239,-119.44405977174983
coming like spiff tv una,Romford,other,2022-12-09 17:23:52+00:00,51.5760462,0.1822646
rt if you like wet fartsnnscat findom,Hackney,sexual_orientation,2022-12-09 17:23:32+00:00,51.5432402,-0.0493621
hello londonnnotjustajob koninklijkemarine,Poplar,other,2022-12-09 17:20:21+00:00,51.5110713,-0.0144629
nedarg succes nederland,City of London,other,2022-12-09 17:17:49+00:00,51.515053699999996,-0.09311889867661148
croatia have been dog shit the whole game ngl,Islington,racism,2022-12-09 17:16:29+00:00,51.5384287,-0.0999051
black bastard,London,racism,2022-12-09 17:10:09+00:00,36.4846239,-119.44405977174983
down tools lads cans beer lager sensibleliteales getbangonit,Camberwell,other,2022-12-09 17:07:57+00:00,51.4745706,-0.0925416
utter scumbag x,London,sexism,2022-12-09 16:35:53+00:00,36.4846239,-119.44405977174983
waterloo tap london united kingdom,City of London,other,2022-12-09 15:53:53+00:00,51.515053699999996,-0.09311889867661148
scarfacenndead man n times,Kensington,other,2022-12-09 15:39:51+00:00,51.4989948,-0.1991229
maybe some other north london fool perhaps hope youre well pal,Barnet,other,2022-12-09 15:24:34+00:00,51.65309,-0.2002261
no send them back,Islington,racism,2022-12-09 15:10:28+00:00,51.5384287,-0.0999051
you fucking retard,Hackney,disability,2022-12-09 15:08:56+00:00,51.5432402,-0.0493621
massive ego anyhow roykeane’sprivatethoughs,Islington,other,2022-12-09 15:06:23+00:00,51.5384287,-0.0999051
speak please loool,Greenwich,other,2022-12-09 14:57:29+00:00,51.46862565,0.04883057313755089
phone box fantasy london united kingdom,City of London,other,2022-12-09 14:42:33+00:00,51.515053699999996,-0.09311889867661148
shadow shot london united kingdom,City of London,other,2022-12-09 14:41:27+00:00,51.515053699999996,-0.09311889867661148
thats never getting fab schar round,Bromley,other,2022-12-09 14:29:11+00:00,51.36685695,0.061709076090816765
women and their bullshit mind games 🤣🤣🤣🤣nncome at me if you want i dont even care if anyone else wants to step up and tell me how they feel then change their mind hours later i could do with a good laugh while im pissed tonightnnstaying single until someone makes effort,Paddington,sexism,2022-12-09 14:22:47+00:00,51.5185075,-0.1787546
team ryannnchamp boxing sister proud teamryan ovo arena wembley,Brent,other,2022-12-09 14:14:30+00:00,51.5639957,-0.27590641378489267
does it show them for the paedophile enabling money sucking vermin they really are,Bromley,religion,2022-12-09 14:14:28+00:00,51.36685695,0.061709076090816765
claudia winkleman is that bitch thetraitors,Greenwich,sexism,2022-12-09 14:06:05+00:00,51.46862565,0.04883057313755089
may those scumbags burn in hellnzionists israeliterrorism يومالجمعة freepalestine fridaymorning,Bromley,racism,2022-12-09 13:49:20+00:00,51.36685695,0.061709076090816765
theres no need to be a complete fucktard,Camden Town,other,2022-12-09 13:41:01+00:00,51.5423045,-0.1395604
fridayvibesnn imp batch fusion n dcoy barbarian nngrimedj grimevinyl grimemix grime grimeinstrumental vinyl vinylcollection ukgrime vinyldj,London,other,2022-12-09 12:42:49+00:00,36.4846239,-119.44405977174983
portwood sideboard vintique london,Lewisham,other,2022-12-09 12:31:37+00:00,51.4624292,-0.0101787
i cunt prronunce well some words fort example espiderman,Poplar,sexism,2022-12-09 12:30:00+00:00,51.5110713,-0.0144629
g plan compact sideboard vintique london,Lewisham,other,2022-12-09 12:29:47+00:00,51.4624292,-0.0101787
she is just a retard,Ealing,other,2022-12-09 12:27:45+00:00,51.5126553,-0.3051952
mid century record sideboard vintique london,Lewisham,other,2022-12-09 12:27:12+00:00,51.4624292,-0.0101787
fogot to mention this is unacceptable 😤😡,Wandsworth,sexual_orientation,2022-12-09 12:14:34+00:00,51.4570271,-0.1932607
ibr monarchies are not just an english phenomenon don’t be silly it cannot be racist to mock a known racist institution get a grip you grown silly woman,Camberwell,sexism,2022-12-09 12:04:59+00:00,51.4745706,-0.0925416
“women are not allowed in this house” cool,Hackney,sexism,2022-12-09 11:42:37+00:00,51.5432402,-0.0493621
utter fucking bollocks,Islington,sexism,2022-12-09 11:38:49+00:00,51.5384287,-0.0999051
choo choo bitch,Ealing,sexism,2022-12-09 11:33:17+00:00,51.5126553,-0.3051952
why did you marry into the royal family then you mulatto cunt,City of London,racism,2022-12-09 11:23:02+00:00,51.515053699999996,-0.09311889867661148
girl go to hell 😭,Lambeth,sexism,2022-12-09 11:23:00+00:00,51.4952111,-0.1163354
may the sons of bitces rot in hell kutey kay batchey,Kingston upon Thames,religion,2022-12-09 11:03:30+00:00,51.4096275,-0.3062621
england obviously idiot,Romford,other,2022-12-09 10:59:46+00:00,51.5760462,0.1822646
usual fail lies,Bromley,other,2022-12-09 10:55:14+00:00,51.36685695,0.061709076090816765
they would bring in people from china to run it,Paddington,racism,2022-12-09 10:38:52+00:00,51.5185075,-0.1787546
north korean tv planner,Merton,other,2022-12-09 10:34:39+00:00,51.41086985,-0.18809708858824303
oh dear england oh dear pakveng,London,other,2022-12-09 09:30:00+00:00,36.4846239,-119.44405977174983
theyll do everything they can to destroy this country before theyre finally kicked out,Kensington,religion,2022-12-09 09:29:44+00:00,51.4989948,-0.1991229
london south croydon prend un billet sale clochard,Croydon,other,2022-12-09 09:18:28+00:00,51.3713049,-0.101957
the inevitable outcome of the uk diverting help away from its own poor to pay for labours open door mass immigration,Enfield,racism,2022-12-09 09:18:02+00:00,51.6520851,-0.0810175
london uknrepaart katerynarepa ukranianartist london nncmagazine london united kingdom,City of London,other,2022-12-09 08:58:48+00:00,51.515053699999996,-0.09311889867661148
broken britain,Richmond,other,2022-12-09 08:17:19+00:00,51.4405529,-0.3076394377337949
correction the zionists came from europe to steal a land that wasnt theirs and to commit crimes against humanitynn,Ealing,religion,2022-12-09 08:10:41+00:00,51.5126553,-0.3051952
horriblenwhat a mean and nasty woman,Camden Town,sexism,2022-12-09 08:10:03+00:00,51.5423045,-0.1395604
disdain fyi,Lambeth,other,2022-12-09 07:52:31+00:00,51.4952111,-0.1163354
green claude…nvegan gang confirmed🥗 🥑 🌱,Barnet,other,2022-12-09 07:35:39+00:00,51.65309,-0.2002261
you forgot vile racist muck raking racist guttersnipes,Barnet,other,2022-12-09 07:34:06+00:00,51.65309,-0.2002261
quality meets experience nengland quality n üretici foodsupplement manufacturer cosmetics tablet capsules effervescente softgel sirop capsul london unιted kingdom,Camberwell,other,2022-12-09 07:28:48+00:00,51.4745706,-0.0925416
such o fuckng stupid idiot,London,other,2022-12-09 07:17:49+00:00,36.4846239,-119.44405977174983
what a st class cunt you are,Kensington,sexism,2022-12-09 07:10:23+00:00,51.4989948,-0.1991229
common hygiene gay now i see,Bromley,sexual_orientation,2022-12-09 06:49:11+00:00,51.36685695,0.061709076090816765
and the twat husband is supporting it,Bexley,sexism,2022-12-09 05:29:35+00:00,51.4416793,0.150488
works only one way for those twat they are both ridiculous,Bexley,sexism,2022-12-09 05:08:47+00:00,51.4416793,0.150488
dr jailed but us spys get away scott freenjusticeforharrydunn nannesacoolas,Camden Town,other,2022-12-09 04:59:55+00:00,51.5423045,-0.1395604
dripless little cunt,Hackney,sexism,2022-12-09 01:58:34+00:00,51.5432402,-0.0493621
shush halfwit,Lewisham,other,2022-12-09 00:57:44+00:00,51.4624292,-0.0101787
very irish ‘fecking’ jaysus you awful gobshite,Camden Town,racism,2022-12-09 00:32:56+00:00,51.5423045,-0.1395604
“ain’t nuffin wrong with it but it’s some hoe shit” 😭😭😭🥲🥲,Romford,sexism,2022-12-09 00:27:04+00:00,51.5760462,0.1822646
man you retard brits historical colonies is that something to be proud of tbh british be playing saint drinking indians and africans blood,Lewisham,other,2022-12-09 00:17:59+00:00,51.4624292,-0.0101787
fuck israel,Hillingdon,racism,2022-12-09 00:05:11+00:00,51.542519299999995,-0.44833493117949663
deluded fools,Hackney,disability,2022-12-09 00:00:11+00:00,51.5432402,-0.0493621
stop it you slag,Lambeth,sexism,2022-12-08 23:41:36+00:00,51.4952111,-0.1163354
youre part of a lying thieving killing party think you should shut up mate,Islington,sexism,2022-12-08 23:40:31+00:00,51.5384287,-0.0999051
you sound like my exwife now whose favourite food was sushi amp shashimi😡,Kingston upon Thames,sexism,2022-12-08 23:39:27+00:00,51.4096275,-0.3062621
lmao some bitches never learn their lesson,Camden Town,sexism,2022-12-08 23:28:05+00:00,51.5423045,-0.1395604
when such people are to be the subject of being brain washed under the radical religous of mullahs speeches at mosques then they are no longer human they are worse than the perpetrators of the talibannnocashtotaliban stophazaragenocide,Camden Town,religion,2022-12-08 23:25:23+00:00,51.5423045,-0.1395604
tarde de sol london londres westminster uk reinounido inglaterra england ferias vacation viagens turismo instatravel em parliament square,London,other,2022-12-08 23:14:57+00:00,36.4846239,-119.44405977174983
tickticktickticktickticktick boom nnstill enjoying skid rows latestnnskidrow thegangsallhere ripper,Poplar,other,2022-12-08 23:09:05+00:00,51.5110713,-0.0144629
whilst her pussy is there watching her do it 😡,Barnet,sexism,2022-12-08 23:06:32+00:00,51.65309,-0.2002261
what a nasty snivelling shit women dont have a penis,Camden Town,sexism,2022-12-08 23:04:35+00:00,51.5423045,-0.1395604
yeah not been wish could visit everywhere if time money not issue,Lambeth,other,2022-12-08 22:44:30+00:00,51.4952111,-0.1163354
cry baby right wing extremist snowflake youre losing 😂,Bromley,other,2022-12-08 22:34:40+00:00,51.36685695,0.061709076090816765
priority is probably canestan for an annoying cunt,Poplar,sexism,2022-12-08 22:34:04+00:00,51.5110713,-0.0144629
no end to the brutality of the islamic republic nn stopexecutioniniran,Paddington,religion,2022-12-08 22:33:55+00:00,51.5185075,-0.1787546
fancy viessman owning bastard,Sutton,other,2022-12-08 22:26:19+00:00,51.3612155,-0.1921503
immature disrespectful delusional egotistical harryandmeghannetflix,Richmond,other,2022-12-08 22:23:00+00:00,51.4405529,-0.3076394377337949
african giant 🦍💰nn london united kingdom,City of London,other,2022-12-08 22:15:59+00:00,51.515053699999996,-0.09311889867661148
high tide wednesday lunchtimennhightide london riverthames lambeth bridge,London,other,2022-12-08 21:34:51+00:00,36.4846239,-119.44405977174983
porn film production company owned by shit for brain sharif tubbar is incapable of producing anything other than filth,Hillingdon,religion,2022-12-08 21:26:56+00:00,51.542519299999995,-0.44833493117949663
man can understand mathematics stocks market crypto but not a women,Paddington,sexism,2022-12-08 21:19:08+00:00,51.5185075,-0.1787546
find it very hard to have empathy for fucking millionaires whilst people out here struggling to put food on the table and keep warm meanwhile this bitch wanna play victim yeah life is hard meghanandharry life is real hard,Barnet,sexism,2022-12-08 21:11:18+00:00,51.65309,-0.2002261
seems pretty tame in comparison with the islamists you seem to support at every turn,Ealing,religion,2022-12-08 20:51:52+00:00,51.5126553,-0.3051952
scrapping the barrel with this low life pure trailer trash like the half sister whos got rich on meghans back,Camberwell,racism,2022-12-08 20:42:54+00:00,51.4745706,-0.0925416
wrong the silly woman didn’t realise that if she had been a tad patient she might have gotten to design her own way of doing things,Hammersmith,sexism,2022-12-08 20:42:13+00:00,51.4920377,-0.2236401
see this useless woman o,Croydon,sexism,2022-12-08 20:19:53+00:00,51.3713049,-0.101957
except nothing makes those hate peddling twonks worth watching,Bromley,other,2022-12-08 20:09:13+00:00,51.36685695,0.061709076090816765
thinking more like,Paddington,other,2022-12-08 19:58:49+00:00,51.5185075,-0.1787546
slay bitch,Paddington,sexism,2022-12-08 19:52:07+00:00,51.5185075,-0.1787546
says the ones off biggest deluded little woman 😏,Barnet,sexism,2022-12-08 19:19:33+00:00,51.65309,-0.2002261
says you the deceiving little woman😏,Barnet,sexism,2022-12-08 19:14:15+00:00,51.65309,-0.2002261
get rid of this vile vile beast of a women🤬🤬🤬🤬,Hounslow,sexism,2022-12-08 19:14:14+00:00,51.4686132,-0.3613471
also xmas day ndinner wise recommend anywhere good,Lambeth,other,2022-12-08 18:54:24+00:00,51.4952111,-0.1163354
she should never be allowed in the uk again ever,London,racism,2022-12-08 18:53:36+00:00,36.4846239,-119.44405977174983
i need you back in london to get my cock edging by u,Islington,sexism,2022-12-08 18:34:02+00:00,51.5384287,-0.0999051
investigation civet cat poop coffee causes suffering via,Paddington,other,2022-12-08 18:16:50+00:00,51.5185075,-0.1787546
chapter four londonnnholidays travel europe eurotrip fall autumn dave memories tb unitedkingdom england london london united kingdom,City of London,other,2022-12-08 18:13:29+00:00,51.515053699999996,-0.09311889867661148
reading qrt in a post abt islamophobia is so terrifying,Richmond,religion,2022-12-08 18:12:41+00:00,51.4405529,-0.3076394377337949
actress pointless,Paddington,sexism,2022-12-08 17:48:24+00:00,51.5185075,-0.1787546
s continuesnpandemic check ✅nrussian invasion of neighbour check✅ngerman coup attempt check ✅,Hounslow,racism,2022-12-08 17:43:59+00:00,51.4686132,-0.3613471
churchill oliseh bags african lifetime leadership award via,Bexley,other,2022-12-08 17:38:35+00:00,51.4416793,0.150488
london uk explore explorepage modeling model cute love photooftheday picoftheday handsome pretty beautiful traveling exploremore instagood london united kingdom,City of London,other,2022-12-08 17:31:39+00:00,51.515053699999996,-0.09311889867661148
she tried to karen the ting on national tv women are wicked 😭,Barnet,sexism,2022-12-08 17:30:12+00:00,51.65309,-0.2002261
years ago jesus christ professional idiot,Kingston upon Thames,other,2022-12-08 17:19:41+00:00,51.4096275,-0.3062621
slow gym progress gymrat happy londongym hairymuscle man hoscosmen cisman chest londonman thirsty london united kingdom,City of London,other,2022-12-08 17:18:43+00:00,51.515053699999996,-0.09311889867661148
ibis nuk nengland london united kingdom,City of London,other,2022-12-08 17:07:40+00:00,51.515053699999996,-0.09311889867661148
this woman needs to stop putting my daughter in these windy pants how she got flares on at the age of swallowing her likkle foot,Lambeth,sexism,2022-12-08 16:45:06+00:00,51.4952111,-0.1163354
twat,Camberwell,sexism,2022-12-08 16:42:39+00:00,51.4745706,-0.0925416
people smuggler,Brent,racism,2022-12-08 16:22:35+00:00,51.5639957,-0.27590641378489267
sarcastic btch,Paddington,sexism,2022-12-08 16:02:26+00:00,51.5185075,-0.1787546
old fashioned hag,Islington,sexism,2022-12-08 15:49:12+00:00,51.5384287,-0.0999051
no words to explain the depraved zionists,Kingston upon Thames,religion,2022-12-08 15:19:01+00:00,51.4096275,-0.3062621
hi 👋 nndisrespectfully go fuck yourselves lady,Islington,sexism,2022-12-08 15:11:16+00:00,51.5384287,-0.0999051
so cold demonic i mean just how can anyone do this bloody barbaric savages 👿🤬👹🤡💩,Bexley,religion,2022-12-08 14:30:42+00:00,51.4416793,0.150488
maybe that awful woman is doing all this deliberately…… so she can become a princess……princess henry……its still a princess,Kingston upon Thames,sexism,2022-12-08 14:29:34+00:00,51.4096275,-0.3062621
turkish fags amp bacci £ fags per pack amp £ per pouch of bacci ♣️ payments through paypal or shpock or cash on collection which can be croydon beckenham junction greenwich peninsula or can be posted out tracked delivery for a little extra 📦,Greenwich,sexual_orientation,2022-12-08 14:28:05+00:00,51.46862565,0.04883057313755089
twat rail companies try to run the railways but unions do their best to stop them,London,sexism,2022-12-08 14:16:25+00:00,36.4846239,-119.44405977174983
london uk explore explorepage cute london united kingdom,City of London,other,2022-12-08 14:07:32+00:00,51.515053699999996,-0.09311889867661148
cic cant make profit whats your point,Harrow,racism,2022-12-08 13:32:21+00:00,51.596827149999996,-0.3373046180437286
you scumbag you maggot sweet niblets dang flabbit,Camberwell,racism,2022-12-08 13:13:04+00:00,51.4745706,-0.0925416
will home gurl give up her account or whaguan,Islington,racism,2022-12-08 13:02:13+00:00,51.5384287,-0.0999051
fuck the vaccinenare you triggered yet,Sutton,racism,2022-12-08 12:50:37+00:00,51.3612155,-0.1921503
plus a hoof in the vag,City of London,sexism,2022-12-08 12:50:06+00:00,51.515053699999996,-0.09311889867661148
sadistic bastards,Kensington,other,2022-12-08 12:49:22+00:00,51.4989948,-0.1991229
turkish airlines discount campaign turkishairlines thy staralliance campaign complain,London,other,2022-12-08 12:42:14+00:00,36.4846239,-119.44405977174983
cruel bastards,Kensington,other,2022-12-08 12:38:52+00:00,51.4989948,-0.1991229
recently shot rahi london united kingdom,City of London,other,2022-12-08 12:33:12+00:00,51.515053699999996,-0.09311889867661148
starting to think captchas are going chinese,Brent,racism,2022-12-08 12:32:44+00:00,51.5639957,-0.27590641378489267
im surprised the players didnt stay on the pitch at half time and have an orange and a fag park football cafc 😩👎,Lewisham,sexual_orientation,2022-12-08 12:13:33+00:00,51.4624292,-0.0101787
never listen to a man on phones matters…nwhat they think and what we think differs a lot… 😂😂,Camberwell,sexism,2022-12-08 11:57:24+00:00,51.4745706,-0.0925416
don’t watch it both twat,Greenwich,sexism,2022-12-08 11:55:37+00:00,51.46862565,0.04883057313755089
we should be given a referendum on that its grossly unfair that our own homless are dying on our streets and fishy rishy is giving amnesty for illegals where are they going to live,Hounslow,racism,2022-12-08 11:48:50+00:00,51.4686132,-0.3613471
nget walking get talking get smiling ☺️ nevergiveup,Barnet,other,2022-12-08 11:08:32+00:00,51.65309,-0.2002261
shes a manipulative bit actor🤬🤬🤬,Hounslow,sexism,2022-12-08 10:29:26+00:00,51.4686132,-0.3613471
they are all zealots horrible lots,Camberwell,religion,2022-12-08 10:27:36+00:00,51.4745706,-0.0925416
passive aggressive gay canadiana,Islington,sexual_orientation,2022-12-08 10:22:16+00:00,51.5384287,-0.0999051
free iran,London,other,2022-12-08 10:17:10+00:00,36.4846239,-119.44405977174983
you are a retard,Camberwell,other,2022-12-08 10:06:45+00:00,51.4745706,-0.0925416
cumdump cocksucker needed today central east london,Poplar,sexism,2022-12-08 10:04:21+00:00,51.5110713,-0.0144629
